,All
51->52,0.030622360613551905
52->53,0.03876650350550414
53->54,0.059351698289302104
54->55,0.06712274822789571
55->56,0.015800842814876977
56->57,0.05009337223197269
57->58,0.0
58->59,0.02985162946042345
59->60,0.018251960930509403
60->61,0.05431166785440018
61->62,0.08036626278118095
62->63,0.0
63->64,0.03494778522880005
64->65,0.05139507446973141
65->66,0.06417495725086772
66->67,0.0
67->68,0.0141178224637555
68->69,0.040513608471242864
69->70,0.12922087272883384
70->71,0.029587481920560845
71->72,0.04526977332383668
72->73,0.04272301251709131
73->74,0.013668405018453901
74->75,0.029038537719518292
75->76,0.03629452314523086
76->77,0.03958193003914354
77->78,0.03160785364156408
78->79,0.03498915364729332
79->80,0.016494841261717248
80->81,0.08227665478027509
81->82,0.013958370111874474
82->83,0.048816856210832905
83->84,0.014883136784092803
84->85,0.07110711322412663
85->86,0.04779197517481398
86->87,0.24021191136419004
87->88,0.050074849071548154
88->89,0.027767277279583384
89->90,0.10890101868105583
90->91,0.016127997260044876
91->92,0.04334734435139333
92->93,0.014288467392569169
93->94,0.0343942244666311
94->95,0.07796466509336633
95->96,0.09590067163828572
96->97,0.03026433044757765
97->98,0.11456821775217921
98->99,0.18027165993608307
99->100,0.08802577051094088
100->101,0.25685020096019523
