,All
51->52,0.08465410970093834
52->53,0.03265574820263936
53->54,0.02865648193533272
54->55,0.0
55->56,0.0
56->57,0.0646818422627827
57->58,0.034899341987457304
58->59,0.0
59->60,0.0
60->61,0.08195233685580398
61->62,0.1607474676129996
62->63,0.0
63->64,0.0
64->65,0.15268376036201473
65->66,0.0
66->67,0.0
67->68,0.0733768215106643
68->69,0.013808907167708911
69->70,0.0884010255754377
70->71,0.0
71->72,0.031040857224879644
72->73,0.0
73->74,0.05828629827396453
74->75,0.0
75->76,0.0
76->77,0.1296216812598592
77->78,0.028627642912781248
78->79,0.06127707267370813
79->80,0.08072726681466898
80->81,0.03377995624846373
81->82,0.10193791167118788
82->83,0.0676404071780866
83->84,0.03340512286136246
84->85,0.26715603355419365
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.12917991216548005
89->90,0.0
90->91,0.03635479019253598
91->92,0.11997176749317932
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.08559310723237286
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.1389891966557917
100->101,0.07456570876283973
