,All
51->52,0.29686058855289754
52->53,0.29686058855289754
53->54,0.17920730940158638
54->55,0.13219333519486048
55->56,0.0
56->57,0.0
57->58,0.0780057052211985
58->59,0.23165732683700074
59->60,0.476067897954484
60->61,0.13219333519486048
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.1976995945261604
65->66,0.0
66->67,0.08381709190192062
67->68,0.34936833810234236
68->69,0.0780057052211985
69->70,0.13219333519486048
70->71,0.0
71->72,0.08381709190192062
72->73,0.14116350199567945
73->74,0.24554539754587493
74->75,0.15855801805584233
75->76,0.0
76->77,0.0702601826072829
77->78,0.15131755554261664
78->79,0.06520326171589681
79->80,0.20585637354984396
80->81,0.0
81->82,0.3638506620318613
82->83,0.14392322096226634
83->84,0.0
84->85,0.4693949330784642
85->86,0.5368953967191602
86->87,0.08381709190192062
87->88,0.0
88->89,0.27335683719053994
89->90,0.0
90->91,0.0
91->92,0.067500463640696
92->93,0.0702601826072829
93->94,0.08067984644270464
94->95,0.0
95->96,0.14118061676025123
96->97,0.0
97->98,0.23773760624146342
98->99,0.0
99->100,0.13219333519486048
100->101,0.07366303835498346
