,All
51->52,0.15407727450920353
52->53,0.14392322096226634
53->54,0.17304473468729892
54->55,0.0
55->56,0.17580445365388583
56->57,0.1377606462479789
57->58,0.0
58->59,0.1596557871202535
59->60,0.3056244730239357
60->61,0.0780057052211985
61->62,0.0780057052211985
62->63,0.0
63->64,0.0
64->65,0.5262661681187016
65->66,0.10554427104660292
66->67,0.067500463640696
67->68,0.5128710156496789
68->69,0.0
69->70,0.09215532347955749
70->71,0.0
71->72,0.0
72->73,0.10554427104660292
73->74,0.31547441873892135
74->75,0.06520326171589681
75->76,0.0
76->77,0.22434865867441797
77->78,0.1996937988355565
78->79,0.067500463640696
79->80,0.0780057052211985
80->81,0.17580445365388583
81->82,0.067500463640696
82->83,0.2946088412817009
83->84,0.07366303835498346
84->85,0.5508387091555742
85->86,0.2804592230233419
86->87,0.07366303835498346
87->88,0.22434865867441797
88->89,0.08381709190192062
89->90,0.14392322096226634
90->91,0.0
91->92,0.21601042709678112
92->93,0.0
93->94,0.06520326171589681
94->95,0.13219333519486048
95->96,0.30850817901047867
96->97,0.06520326171589681
97->98,0.4076297422184789
98->99,0.07366303835498346
99->100,0.30191750944428364
100->101,0.40355596807600436
