,All
51->52,0.0
52->53,0.05
53->54,0.05
54->55,0.0
55->56,0.05
56->57,0.05
57->58,0.0
58->59,0.15
59->60,0.0
60->61,0.0
61->62,0.15
62->63,0.0
63->64,0.0
64->65,0.0
65->66,0.1
66->67,0.05
67->68,0.05
68->69,0.1
69->70,0.05
70->71,0.1
71->72,0.0
72->73,0.05
73->74,0.0
74->75,0.05
75->76,0.1
76->77,0.1
77->78,0.05
78->79,0.1
79->80,0.0
80->81,0.05
81->82,0.0
82->83,0.1
83->84,0.0
84->85,0.0
85->86,0.1
86->87,0.1
87->88,0.0
88->89,0.05
89->90,0.05
90->91,0.05
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.05
96->97,0.1
97->98,0.05
98->99,0.1
99->100,0.15
100->101,0.1
