,All
51->52,0.0
52->53,0.0
53->54,0.14835410671510912
54->55,0.0
55->56,0.0
56->57,0.08468974703687336
57->58,0.0
58->59,0.0
59->60,0.07885606249346964
60->61,0.0
61->62,0.04367632056242432
62->63,0.014568593492552484
63->64,0.0
64->65,0.2221577407182225
65->66,0.0
66->67,0.12645088801811782
67->68,0.06564190597617951
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.06180926256769154
72->73,0.0
73->74,0.0
74->75,0.10047763738112882
75->76,0.0
76->77,0.0
77->78,0.03408212229352723
78->79,0.0914870888773373
79->80,0.0
80->81,0.0
81->82,0.013882457939690169
82->83,0.07553137944491876
83->84,0.10801900616301957
84->85,0.04529960143670685
85->86,0.0
86->87,0.09889675902492219
87->88,0.04741144328794448
88->89,0.03345280180329583
89->90,0.014036776925438001
90->91,0.07172949821471726
91->92,0.18983639803024308
92->93,0.031450809460012545
93->94,0.051533931245960105
94->95,0.03149177196948922
95->96,0.03287020550399392
96->97,0.03047011561578375
97->98,0.08870022967337082
98->99,0.03303827885969009
99->100,0.09844566477230665
100->101,0.08113538195517107
