,All
51->52,0.13333333333333333
52->53,0.06896551724137931
53->54,0.06666666666666667
54->55,0.07142857142857142
55->56,0.0
56->57,0.025974025974025976
57->58,0.047619047619047616
58->59,0.07692307692307693
59->60,0.26666666666666666
60->61,0.2
61->62,0.0
62->63,0.1
63->64,0.0
64->65,0.3076923076923077
65->66,0.0
66->67,0.14285714285714285
67->68,0.45454545454545453
68->69,0.0
69->70,0.75
70->71,0.0
71->72,0.2
72->73,0.14285714285714285
73->74,0.0
74->75,0.0
75->76,0.0625
76->77,0.06451612903225806
77->78,0.14285714285714285
78->79,0.09090909090909091
79->80,0.16666666666666666
80->81,0.08
81->82,0.3333333333333333
82->83,0.3
83->84,0.02040816326530612
84->85,0.125
85->86,0.25
86->87,0.15217391304347827
87->88,0.0
88->89,0.0
89->90,0.01694915254237288
90->91,0.0
91->92,0.05555555555555555
92->93,0.0
93->94,0.07407407407407407
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.14285714285714285
100->101,0.2
