,All
51->52,0.024114544084400905
52->53,0.010415035238841033
53->54,0.025112685125563427
54->55,0.02043506921555702
55->56,0.03659849300322928
56->57,0.02793585100879462
57->58,0.0017076229355105525
58->59,0.044593088071348944
59->60,0.030721003134796237
60->61,0.028353326063249727
61->62,0.04121687929342493
62->63,0.0175
63->64,0.021398002853067047
64->65,0.03041274438812455
65->66,0.03215926493108729
66->67,0.016177957532861477
67->68,0.045
68->69,0.020263424518743668
69->70,0.0387409200968523
70->71,0.01634472511144131
71->72,0.021739130434782608
72->73,0.02284263959390863
73->74,0.0235655737704918
74->75,0.04221635883905013
75->76,0.02445302445302445
76->77,0.03213957759412305
77->78,0.033873343151693665
78->79,0.044359949302915085
79->80,0.01592356687898089
80->81,0.05087440381558029
81->82,0.023376623376623377
82->83,0.07056451612903226
83->84,0.04744958481613286
84->85,0.03203943314849045
85->86,0.04119850187265917
86->87,0.04631927212572374
87->88,0.017241379310344827
88->89,0.06666666666666667
89->90,0.040776699029126215
90->91,0.043697478991596636
91->92,0.015115589804386485
92->93,0.03170731707317073
93->94,0.0302734375
94->95,0.037037037037037035
95->96,0.06553911205073996
96->97,0.040875912408759124
97->98,0.03058103975535168
98->99,0.05263157894736842
99->100,0.025174825174825177
100->101,0.05555555555555555
