,All
51->52,0.23529411764705882
52->53,0.726775956284153
53->54,0.4431818181818182
54->55,0.2980769230769231
55->56,0.37777777777777777
56->57,0.43902439024390244
57->58,0.460431654676259
58->59,0.3305785123966942
59->60,0.3161290322580645
60->61,0.4
61->62,0.358974358974359
62->63,0.36082474226804123
63->64,0.24193548387096775
64->65,0.38181818181818183
65->66,0.1891891891891892
66->67,0.20253164556962025
67->68,0.32727272727272727
68->69,0.20833333333333334
69->70,0.32989690721649484
70->71,0.13414634146341464
71->72,0.1891891891891892
72->73,0.16071428571428573
73->74,0.23
74->75,0.4
75->76,0.33043478260869563
76->77,0.3804347826086957
77->78,0.3484848484848485
78->79,0.2966101694915254
79->80,0.2564102564102564
80->81,0.2857142857142857
81->82,0.1875
82->83,0.3211009174311927
83->84,0.3305785123966942
84->85,0.4297520661157025
85->86,0.27049180327868855
86->87,0.4057971014492754
87->88,0.32786885245901637
88->89,0.18947368421052632
89->90,0.2692307692307692
90->91,0.29545454545454547
91->92,0.3695652173913043
92->93,0.14285714285714285
93->94,0.2152777777777778
94->95,0.2833333333333333
95->96,0.2605042016806723
96->97,0.23140495867768596
97->98,0.09900990099009901
98->99,0.2553191489361702
99->100,0.23376623376623376
100->101,0.2782608695652174
