,All
51->52,0.0780057052211985
52->53,0.13219333519486048
53->54,0.3023543638956165
54->55,0.0
55->56,0.067500463640696
56->57,0.14116350199567945
57->58,0.0
58->59,0.3388630965218399
59->60,0.38944156492585635
60->61,0.456516375673151
61->62,0.5474006382996627
62->63,0.06520326171589681
63->64,0.0
64->65,0.41086463623858716
65->66,0.13219333519486048
66->67,0.06520326171589681
67->68,0.6126039000155595
68->69,0.0
69->70,0.0702601826072829
70->71,0.0
71->72,0.13219333519486048
72->73,0.08381709190192062
73->74,0.4076297422184789
74->75,0.0
75->76,0.0
76->77,0.09215532347955749
77->78,0.29686058855289754
78->79,0.0
79->80,0.0
80->81,0.09215532347955749
81->82,0.13886630007088027
82->83,0.32155469814338405
83->84,0.4375137003868448
84->85,0.4946817281405078
85->86,0.33328458391078986
86->87,0.15166874357618196
87->88,0.21601042709678112
88->89,0.1573585851954543
89->90,0.09215532347955749
90->91,0.23165732683700074
91->92,0.0
92->93,0.20585637354984396
93->94,0.46765357596899987
94->95,0.23165732683700074
95->96,0.1573585851954543
96->97,0.0
97->98,0.4210186897855243
98->99,0.0780057052211985
99->100,0.23773760624146342
100->101,0.6486374575882615
