,All
51->52,0.0
52->53,0.07136972262242715
53->54,0.10554427104660292
54->55,0.0
55->56,0.03730675036644463
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.07944341755227195
65->66,0.0
66->67,0.0
67->68,0.0
68->69,0.06837498047599133
69->70,0.0
70->71,0.0
71->72,0.20321335501168916
72->73,0.0
73->74,0.0
74->75,0.10912887991654102
75->76,0.08319328176705462
76->77,0.19818449208674907
77->78,0.0702601826072829
78->79,0.23165732683700074
79->80,0.0
80->81,0.18938671951154307
81->82,0.03475017269886857
82->83,0.07569138853182752
83->84,0.0
84->85,0.12112384226836526
85->86,0.0
86->87,0.0
87->88,0.0
88->89,0.13788256219492273
89->90,0.0
90->91,0.07714693474999154
91->92,0.0
92->93,0.0
93->94,0.0780057052211985
94->95,0.11954956975559344
95->96,0.0
96->97,0.0
97->98,0.06520326171589681
98->99,0.0
99->100,0.03406297225598251
100->101,0.0
