,All
51->52,0.0
52->53,0.02
53->54,0.08
54->55,0.04
55->56,0.06
56->57,0.02
57->58,0.0
58->59,0.02
59->60,0.06
60->61,0.04
61->62,0.0
62->63,0.02
63->64,0.04
64->65,0.06
65->66,0.04
66->67,0.0
67->68,0.04
68->69,0.04
69->70,0.08
70->71,0.0
71->72,0.06
72->73,0.02
73->74,0.0
74->75,0.02
75->76,0.02
76->77,0.02
77->78,0.02
78->79,0.04
79->80,0.02
80->81,0.08
81->82,0.04
82->83,0.14
83->84,0.08
84->85,0.14
85->86,0.0
86->87,0.08
87->88,0.04
88->89,0.1
89->90,0.02
90->91,0.04
91->92,0.0
92->93,0.02
93->94,0.04
94->95,0.0
95->96,0.08
96->97,0.04
97->98,0.08
98->99,0.04
99->100,0.02
100->101,0.12
