,All
51->52,0.0
52->53,0.12
53->54,0.08
54->55,0.04
55->56,0.08
56->57,0.0
57->58,0.02
58->59,0.08
59->60,0.1
60->61,0.02
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.14
65->66,0.0
66->67,0.0
67->68,0.04
68->69,0.08
69->70,0.04
70->71,0.0
71->72,0.18
72->73,0.0
73->74,0.0
74->75,0.08
75->76,0.04
76->77,0.1
77->78,0.04
78->79,0.08
79->80,0.0
80->81,0.04
81->82,0.08
82->83,0.08
83->84,0.08
84->85,0.1
85->86,0.1
86->87,0.0
87->88,0.04
88->89,0.14
89->90,0.04
90->91,0.08
91->92,0.02
92->93,0.0
93->94,0.04
94->95,0.12
95->96,0.04
96->97,0.0
97->98,0.04
98->99,0.0
99->100,0.04
100->101,0.04
