,All
51->52,0.014705882352941176
52->53,0.02185792349726776
53->54,0.011363636363636364
54->55,0.009615384615384616
55->56,0.0
56->57,0.016260162601626018
57->58,0.0
58->59,0.008264462809917356
59->60,0.03225806451612903
60->61,0.0
61->62,0.017094017094017096
62->63,0.0
63->64,0.0
64->65,0.03636363636363636
65->66,0.0
66->67,0.02531645569620253
67->68,0.045454545454545456
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.008928571428571428
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.015151515151515152
78->79,0.0
79->80,0.01282051282051282
80->81,0.008928571428571428
81->82,0.020833333333333332
82->83,0.0
83->84,0.01652892561983471
84->85,0.01652892561983471
85->86,0.00819672131147541
86->87,0.007246376811594203
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.028985507246376812
92->93,0.0
93->94,0.027777777777777776
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.0
