,All
51->52,0.0
52->53,0.0
53->54,0.3589542101716347
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.06625422345438903
59->60,0.11004588314904007
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.07336392209936006
64->65,0.0
65->66,0.06625422345438903
66->67,0.0
67->68,0.0
68->69,0.11004588314904007
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0636207881989517
78->79,0.11004588314904007
79->80,0.0
80->81,0.13568544539116628
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.0
85->86,0.1388624438735545
86->87,0.22009176629808014
87->88,0.0
88->89,0.09478836436955078
89->90,0.1388624438735545
90->91,0.0
91->92,0.11004588314904007
92->93,0.0636207881989517
93->94,0.0636207881989517
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.08514311764162097
100->101,0.0
