,All
51->52,0.16182279712311912
52->53,0.3655121606700974
53->54,0.16581836183454093
54->55,0.07741506737542789
55->56,0.06520326171589681
56->57,0.15407727450920353
57->58,0.0
58->59,0.23165732683700074
59->60,0.44766775393378194
60->61,0.30047047179185177
61->62,0.43025192543616364
62->63,0.0
63->64,0.0
64->65,0.5121165498603426
65->66,0.0
66->67,0.10554427104660292
67->68,0.6312177302015833
68->69,0.144308167173489
69->70,0.4313511256725573
70->71,0.0
71->72,0.22810805193288158
72->73,0.07569138853182752
73->74,0.3981027812416637
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.13840924161417992
78->79,0.08237937957084716
79->80,0.13219333519486048
80->81,0.13415076300902462
81->82,0.16241550608684038
82->83,0.06520326171589681
83->84,0.3638506620318613
84->85,0.37890110823714285
85->86,0.10554427104660292
86->87,0.23165732683700074
87->88,0.06761514326644556
88->89,0.20585637354984396
89->90,0.25456462466442037
90->91,0.06818766408358207
91->92,0.22434865867441797
92->93,0.1996937988355565
93->94,0.13886630007088027
94->95,0.0
95->96,0.43462123480087644
96->97,0.13219333519486048
97->98,0.29686058855289754
98->99,0.14392322096226634
99->100,0.08381709190192062
100->101,0.08381709190192062
