,All
51->52,0.14826588782848138
52->53,0.10554427104660292
53->54,0.0702601826072829
54->55,0.0
55->56,0.07366303835498346
56->57,0.22157773814989953
57->58,0.0
58->59,0.2699539814428394
59->60,0.15131755554261664
60->61,0.6042718733399002
61->62,0.5854284001817609
62->63,0.38182878893132205
63->64,0.15166874357618196
64->65,0.3952177364983675
65->66,0.10554427104660292
66->67,0.0
67->68,0.6178287826345379
68->69,0.067500463640696
69->70,0.067500463640696
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.14116350199567945
74->75,0.0
75->76,0.06520326171589681
76->77,0.286270609704064
77->78,0.08381709190192062
78->79,0.23165732683700074
79->80,0.26302440130350696
80->81,0.06520326171589681
81->82,0.06520326171589681
82->83,0.07366303835498346
83->84,0.0
84->85,0.7300460185571607
85->86,0.13219333519486048
86->87,0.0
87->88,0.0
88->89,0.09215532347955749
89->90,0.0
90->91,0.10554427104660292
91->92,0.0
92->93,0.10554427104660292
93->94,0.14392322096226634
94->95,0.0
95->96,0.18936136294852354
96->97,0.07366303835498346
97->98,0.13219333519486048
98->99,0.13219333519486048
99->100,0.1377606462479789
100->101,0.4647636650804794
