,All
51->52,0.07366303835498346
52->53,0.0
53->54,0.22157773814989953
54->55,0.0
55->56,0.0780057052211985
56->57,0.1596557871202535
57->58,0.0
58->59,0.24963545373646154
59->60,0.28096961318507424
60->61,0.24875323798369822
61->62,0.4827077667454982
62->63,0.0702601826072829
63->64,0.09215532347955749
64->65,0.41520730310480214
65->66,0.0780057052211985
66->67,0.0702601826072829
67->68,0.6717723369805961
68->69,0.0780057052211985
69->70,0.07366303835498346
70->71,0.0
71->72,0.07366303835498346
72->73,0.0
73->74,0.38217121736546206
74->75,0.0
75->76,0.0
76->77,0.09215532347955749
77->78,0.23165732683700074
78->79,0.06520326171589681
79->80,0.3238126503165582
80->81,0.0
81->82,0.15166874357618196
82->83,0.46157329656453716
83->84,0.3799232146654821
84->85,0.46374030656740267
85->86,0.3571739290924606
86->87,0.0702601826072829
87->88,0.09215532347955749
88->89,0.15131755554261664
89->90,0.08381709190192062
90->91,0.1377606462479789
91->92,0.0
92->93,0.2024535178021434
93->94,0.4839702042302244
94->95,0.23165732683700074
95->96,0.36427631492526247
96->97,0.06520326171589681
97->98,0.2024535178021434
98->99,0.14392322096226634
99->100,0.33720159788360365
100->101,0.6458777386216747
