,All
51->52,0.0
52->53,0.05
53->54,0.15
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.1
59->60,0.05
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.05
64->65,0.05
65->66,0.1
66->67,0.0
67->68,0.1
68->69,0.05
69->70,0.1
70->71,0.0
71->72,0.05
72->73,0.05
73->74,0.05
74->75,0.0
75->76,0.05
76->77,0.0
77->78,0.05
78->79,0.1
79->80,0.0
80->81,0.1
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.05
85->86,0.1
86->87,0.1
87->88,0.0
88->89,0.2
89->90,0.05
90->91,0.05
91->92,0.05
92->93,0.1
93->94,0.05
94->95,0.0
95->96,0.0
96->97,0.1
97->98,0.05
98->99,0.05
99->100,0.1
100->101,0.05
