,All
51->52,0.1
52->53,0.0
53->54,0.3
54->55,0.0
55->56,0.1
56->57,0.2
57->58,0.0
58->59,0.3
59->60,0.4
60->61,0.3
61->62,0.4
62->63,0.1
63->64,0.1
64->65,0.3
65->66,0.1
66->67,0.1
67->68,0.6
68->69,0.1
69->70,0.1
70->71,0.0
71->72,0.1
72->73,0.0
73->74,0.5
74->75,0.0
75->76,0.0
76->77,0.1
77->78,0.1
78->79,0.1
79->80,0.2
80->81,0.0
81->82,0.2
82->83,0.4
83->84,0.3
84->85,0.4
85->86,0.4
86->87,0.1
87->88,0.1
88->89,0.2
89->90,0.1
90->91,0.2
91->92,0.0
92->93,0.2
93->94,0.5
94->95,0.1
95->96,0.4
96->97,0.1
97->98,0.2
98->99,0.2
99->100,0.2
100->101,0.6
