,All
51->52,0.04225995859995157
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.031466525306550364
56->57,0.02923358167510575
57->58,0.0733768215106643
58->59,0.0
59->60,0.06042914368826562
60->61,0.05094623813739926
61->62,0.06738404792708165
62->63,0.0
63->64,0.0
64->65,0.2316614979469654
65->66,0.0
66->67,0.0
67->68,0.08786515002294439
68->69,0.043151524655903946
69->70,0.03914060357921622
70->71,0.014471722709210596
71->72,0.028076192575629974
72->73,0.0
73->74,0.056047105854548
74->75,0.027995147037312474
75->76,0.0
76->77,0.09198071422584193
77->78,0.0
78->79,0.029342617488195034
79->80,0.0
80->81,0.13391822626130928
81->82,0.0
82->83,0.1098933399788374
83->84,0.051645038422960095
84->85,0.05911747390647804
85->86,0.0
86->87,0.1279856966503421
87->88,0.0
88->89,0.08762267341853272
89->90,0.04174816435180424
90->91,0.10190381323715632
91->92,0.11806508326943599
92->93,0.03282382155833552
93->94,0.0
94->95,0.0
95->96,0.028451051432242653
96->97,0.02852696360442696
97->98,0.1404876649435558
98->99,0.0
99->100,0.11046512619562553
100->101,0.10765327796585678
