,All
51->52,0.2
52->53,0.2
53->54,0.08
54->55,0.08
55->56,0.12
56->57,0.12
57->58,0.04
58->59,0.18
59->60,0.2
60->61,0.12
61->62,0.24
62->63,0.0
63->64,0.08
64->65,0.32
65->66,0.04
66->67,0.12
67->68,0.28
68->69,0.12
69->70,0.12
70->71,0.0
71->72,0.16
72->73,0.08
73->74,0.24
74->75,0.04
75->76,0.0
76->77,0.08
77->78,0.12
78->79,0.06
79->80,0.08
80->81,0.16
81->82,0.12
82->83,0.16
83->84,0.2
84->85,0.28
85->86,0.08
86->87,0.08
87->88,0.12
88->89,0.2
89->90,0.12
90->91,0.08
91->92,0.2
92->93,0.12
93->94,0.18
94->95,0.0
95->96,0.24
96->97,0.08
97->98,0.08
98->99,0.12
99->100,0.12
100->101,0.12
