,All
51->52,0.3333333333333333
52->53,0.16666666666666666
53->54,0.16666666666666666
54->55,0.07142857142857142
55->56,0.2222222222222222
56->57,0.3333333333333333
57->58,0.18181818181818182
58->59,0.08333333333333333
59->60,0.18518518518518517
60->61,0.0
61->62,0.5
62->63,0.0
63->64,0.0
64->65,0.2857142857142857
65->66,0.0
66->67,0.0
67->68,1.0
68->69,0.0
69->70,0.3333333333333333
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.4
74->75,0.0
75->76,0.0
76->77,0.04
77->78,0.0
78->79,0.0
79->80,0.2
80->81,0.1111111111111111
81->82,0.375
82->83,0.0
83->84,0.0
84->85,0.125
85->86,0.14285714285714285
86->87,0.18181818181818182
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.07142857142857142
92->93,0.0
93->94,0.25
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.16666666666666666
99->100,0.16666666666666666
100->101,0.0
