,All
51->52,0.3014705882352941
52->53,0.7978142076502732
53->54,0.5681818181818182
54->55,0.375
55->56,0.5444444444444444
56->57,0.5284552845528455
57->58,0.43884892086330934
58->59,0.5537190082644629
59->60,0.45806451612903226
60->61,0.4307692307692308
61->62,0.3418803418803419
62->63,0.3711340206185567
63->64,0.27419354838709675
64->65,0.2909090909090909
65->66,0.2072072072072072
66->67,0.2911392405063291
67->68,0.4090909090909091
68->69,0.19791666666666666
69->70,0.3402061855670103
70->71,0.18292682926829268
71->72,0.24324324324324326
72->73,0.23214285714285715
73->74,0.31
74->75,0.3625
75->76,0.3130434782608696
76->77,0.42391304347826086
77->78,0.2878787878787879
78->79,0.2627118644067797
79->80,0.23076923076923078
80->81,0.3392857142857143
81->82,0.2916666666666667
82->83,0.30275229357798167
83->84,0.39669421487603307
84->85,0.48760330578512395
85->86,0.3114754098360656
86->87,0.427536231884058
87->88,0.4918032786885246
88->89,0.21052631578947367
89->90,0.19230769230769232
90->91,0.2727272727272727
91->92,0.39855072463768115
92->93,0.21978021978021978
93->94,0.1736111111111111
94->95,0.35
95->96,0.2689075630252101
96->97,0.2892561983471074
97->98,0.10891089108910891
98->99,0.3404255319148936
99->100,0.2857142857142857
100->101,0.30434782608695654
