,All
51->52,0.0780057052211985
52->53,0.06520326171589681
53->54,0.0
54->55,0.0
55->56,0.06520326171589681
56->57,0.15748013025690408
57->58,0.0
58->59,0.21652081725851346
59->60,0.2276187678027372
60->61,0.2538101588750843
61->62,0.6913238592619291
62->63,0.13886630007088027
63->64,0.0
64->65,0.38905516178408
65->66,0.0
66->67,0.1377606462479789
67->68,0.6050263391292363
68->69,0.13219333519486048
69->70,0.08381709190192062
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0780057052211985
74->75,0.0
75->76,0.0
76->77,0.06520326171589681
77->78,0.10554427104660292
78->79,0.15131755554261664
79->80,0.33720159788360365
80->81,0.0780057052211985
81->82,0.0780057052211985
82->83,0.30850817901047867
83->84,0.3940728329238411
84->85,0.5077738829941276
85->86,0.5262661681187016
86->87,0.2843724689327748
87->88,0.0
88->89,0.15131755554261664
89->90,0.09215532347955749
90->91,0.14392322096226634
91->92,0.0
92->93,0.14902035361781743
93->94,0.5587793360335033
94->95,0.29915779047769675
95->96,0.2226833919728009
96->97,0.14392322096226634
97->98,0.2754023021319558
98->99,0.1455061688618945
99->100,0.17920730940158638
100->101,0.5073626265843596
