,All
51->52,0.1888176264964713
52->53,0.1038867392742665
53->54,0.16742655594018618
54->55,0.07182540878754883
55->56,0.16633013430946758
56->57,0.15071909962571697
57->58,0.0802779371840318
58->59,0.12629174756798853
59->60,0.3278406941556238
60->61,0.06820435061089251
61->62,0.31718309797280986
62->63,0.031450809460012545
63->64,0.0
64->65,0.29873715542139495
65->66,0.029443296796549324
66->67,0.03452611121415187
67->68,0.4151122769122208
68->69,0.09128441459573282
69->70,0.14689346688981736
70->71,0.0
71->72,0.1038639743575326
72->73,0.06252125825146435
73->74,0.1987030915997043
74->75,0.059799070417902236
75->76,0.0
76->77,0.03452611121415187
77->78,0.18575936818169417
78->79,0.03280080159742042
79->80,0.12648776714975943
80->81,0.05030327617389086
81->82,0.25455937329729655
82->83,0.0701175188256809
83->84,0.1194957182835096
84->85,0.2501043572801924
85->86,0.13850504308944936
86->87,0.1859350006518474
87->88,0.06553494597285772
88->89,0.17172564645336585
89->90,0.1018379173398521
90->91,0.036245340640172985
91->92,0.12900832291652753
92->93,0.11948406230421948
93->94,0.18020068115141527
94->95,0.06813221711208774
95->96,0.20175117737065512
96->97,0.06876036492104808
97->98,0.10019133783365744
98->99,0.09956415148934676
99->100,0.09596341970101324
100->101,0.17324206023807215
