,All
51->52,0.16680537021220287
52->53,0.10866713254867087
53->54,0.09352315620296499
54->55,0.029880067491864778
55->56,0.16188581561126192
56->57,0.05684929618381067
57->58,0.0
58->59,0.325512500981323
59->60,0.18818123179549107
60->61,0.18680529109212274
61->62,0.2475417898592948
62->63,0.19360274715212392
63->64,0.0
64->65,0.3386119132094495
65->66,0.0998495172094845
66->67,0.03208792116439359
67->68,0.4958610599619779
68->69,0.06440617870601664
69->70,0.12768895142494474
70->71,0.0
71->72,0.0
72->73,0.029443296796549324
73->74,0.1866218814787617
74->75,0.06893326374665712
75->76,0.03559140761152903
76->77,0.10122130885877724
77->78,0.12794490933042277
78->79,0.0
79->80,0.225824929996818
80->81,0.0
81->82,0.05030327617389086
82->83,0.08593116103000516
83->84,0.07934359237565394
84->85,0.4623785623956414
85->86,0.07752978987506039
86->87,0.4527413446690816
87->88,0.0
88->89,0.10248350727904208
89->90,0.03360610589793586
90->91,0.17228626740327704
91->92,0.027405999387261345
92->93,0.08093140603274714
93->94,0.11354686671648072
94->95,0.0
95->96,0.10760126372539458
96->97,0.1649804419226051
97->98,0.04575182596987993
98->99,0.11236735567566548
99->100,0.16504109035867195
100->101,0.1946585506148612
