,All
51->52,0.03305165677120597
52->53,0.03629655816174712
53->54,0.014883136784092803
54->55,0.0
55->56,0.0333916485965813
56->57,0.08805500109168218
57->58,0.0
58->59,0.07568623797645072
59->60,0.016910281599645215
60->61,0.013737594368807442
61->62,0.032551751763628595
62->63,0.031156568047337217
63->64,0.033727653271793424
64->65,0.051031511964759774
65->66,0.03126886525735979
66->67,0.09290313971207267
67->68,0.12003199000128231
68->69,0.09134191417871718
69->70,0.08218930933748102
70->71,0.05910861458707142
71->72,0.014378420432648436
72->73,0.03319215892046098
73->74,0.02890841942845657
74->75,0.04579391550052307
75->76,0.017386297995236583
76->77,0.034899341987457304
77->78,0.028209317078018034
78->79,0.06442448240931117
79->80,0.015649966645135564
80->81,0.0
81->82,0.014471722709210596
82->83,0.018593381651754125
83->84,0.050674978594395556
84->85,0.04446558412475454
85->86,0.017139813218915285
86->87,0.10290892616085345
87->88,0.04719533731605851
88->89,0.014568593492552484
89->90,0.017651958988418856
90->91,0.044374834764488516
91->92,0.10211256826059852
92->93,0.10002748464280699
93->94,0.12281092351109751
94->95,0.018251960930509403
95->96,0.04862382939146179
96->97,0.07002295231089418
97->98,0.047327906728333535
98->99,0.06159998525124255
99->100,0.1320475810812099
100->101,0.04446558412475454
