,All
51->52,0.2
52->53,0.12
53->54,0.16
54->55,0.08
55->56,0.08
56->57,0.12
57->58,0.08
58->59,0.16
59->60,0.2
60->61,0.08
61->62,0.24
62->63,0.04
63->64,0.0
64->65,0.2
65->66,0.04
66->67,0.04
67->68,0.32
68->69,0.12
69->70,0.12
70->71,0.0
71->72,0.12
72->73,0.08
73->74,0.16
74->75,0.08
75->76,0.0
76->77,0.04
77->78,0.16
78->79,0.04
79->80,0.12
80->81,0.04
81->82,0.24
82->83,0.08
83->84,0.16
84->85,0.2
85->86,0.12
86->87,0.2
87->88,0.08
88->89,0.2
89->90,0.12
90->91,0.04
91->92,0.16
92->93,0.16
93->94,0.2
94->95,0.08
95->96,0.24
96->97,0.04
97->98,0.08
98->99,0.08
99->100,0.08
100->101,0.2
