,All
51->52,0.1111111111111111
52->53,0.08695652173913043
53->54,0.07692307692307693
54->55,0.09090909090909091
55->56,0.0
56->57,0.08333333333333333
57->58,0.0
58->59,0.16666666666666666
59->60,0.2631578947368421
60->61,0.0
61->62,0.0
62->63,0.08333333333333333
63->64,0.0
64->65,0.4
65->66,0.0
66->67,0.14285714285714285
67->68,0.5714285714285714
68->69,0.0
69->70,0.6666666666666666
70->71,0.0
71->72,0.125
72->73,0.0
73->74,0.5
74->75,0.125
75->76,0.047619047619047616
76->77,0.043478260869565216
77->78,0.0
78->79,0.0
79->80,0.2
80->81,0.05263157894736842
81->82,0.75
82->83,0.2222222222222222
83->84,0.08108108108108109
84->85,0.3
85->86,0.29411764705882354
86->87,0.2222222222222222
87->88,0.0
88->89,0.0
89->90,0.25
90->91,0.0
91->92,0.07407407407407407
92->93,0.0
93->94,0.07042253521126761
94->95,0.0
95->96,0.25
96->97,0.0
97->98,0.0
98->99,0.09090909090909091
99->100,0.07142857142857142
100->101,0.0
