,All
51->52,0.027559055118110236
52->53,0.007266469069700736
53->54,0.01941428101349128
54->55,0.015789473684210527
55->56,0.03383458646616541
56->57,0.026823683349689237
57->58,0.0027143706537755604
58->59,0.04675963904840033
59->60,0.03046036690896504
60->61,0.022849807445442877
61->62,0.04241071428571429
62->63,0.01446808510638298
63->64,0.023858921161825725
64->65,0.02900763358778626
65->66,0.04072398190045249
66->67,0.021208226221079693
67->68,0.03758471965495995
68->69,0.02146690518783542
69->70,0.04088785046728972
70->71,0.02512562814070352
71->72,0.03361344537815126
72->73,0.03153153153153153
73->74,0.03565891472868217
74->75,0.03571428571428571
75->76,0.023148148148148147
76->77,0.02797657774886142
77->78,0.028500619578686492
78->79,0.04319654427645788
79->80,0.017712177121771217
80->81,0.03968253968253968
81->82,0.03404255319148936
82->83,0.06539074960127592
83->84,0.04736371760500447
84->85,0.023368740515933233
85->86,0.050058207217694994
86->87,0.03861584754262788
87->88,0.015776699029126214
88->89,0.07255520504731862
89->90,0.04590818363273453
90->91,0.03231017770597738
91->92,0.01767048282727725
92->93,0.038901601830663615
93->94,0.035453597497393116
94->95,0.026963657678780773
95->96,0.08577878103837472
96->97,0.0465444287729196
97->98,0.030560271646859084
98->99,0.042067307692307696
99->100,0.03025936599423631
100->101,0.07086614173228346
