,All
51->52,0.045454545454545456
52->53,0.045454545454545456
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.4
57->58,0.05
58->59,0.0
59->60,0.07692307692307693
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.6666666666666666
65->66,0.0
66->67,0.1
67->68,0.2
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.06451612903225806
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.16666666666666666
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.1111111111111111
84->85,0.0
85->86,0.16666666666666666
86->87,0.14285714285714285
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.038461538461538464
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.125
98->99,0.0
99->100,0.2857142857142857
100->101,0.125
