,All
51->52,0.2426470588235294
52->53,0.0273224043715847
53->54,0.028409090909090908
54->55,0.019230769230769232
55->56,0.022222222222222223
56->57,0.016260162601626018
57->58,0.014388489208633094
58->59,0.008264462809917356
59->60,0.05806451612903226
60->61,0.0
61->62,0.008547008547008548
62->63,0.0
63->64,0.0
64->65,0.01818181818181818
65->66,0.009009009009009009
66->67,0.02531645569620253
67->68,0.02727272727272727
68->69,0.0
69->70,0.010309278350515464
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.02
74->75,0.0
75->76,0.008695652173913044
76->77,0.010869565217391304
77->78,0.015151515151515152
78->79,0.0
79->80,0.01282051282051282
80->81,0.017857142857142856
81->82,0.020833333333333332
82->83,0.045871559633027525
83->84,0.024793388429752067
84->85,0.024793388429752067
85->86,0.03278688524590164
86->87,0.021739130434782608
87->88,0.01639344262295082
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.014492753623188406
92->93,0.0
93->94,0.041666666666666664
94->95,0.0
95->96,0.01680672268907563
96->97,0.008264462809917356
97->98,0.0
98->99,0.0
99->100,0.012987012987012988
100->101,0.008695652173913044
