,All
51->52,0.18354997626780142
52->53,0.31547441873892135
53->54,0.29686058855289754
54->55,0.0
55->56,0.23331882547523694
56->57,0.067500463640696
57->58,0.0
58->59,0.16581836183454093
59->60,0.5592984857946609
60->61,0.3638506620318613
61->62,0.4885191534262204
62->63,0.18936136294852354
63->64,0.0
64->65,0.5329391329947214
65->66,0.0780057052211985
66->67,0.07366303835498346
67->68,0.7027137585537012
68->69,0.067500463640696
69->70,0.07366303835498346
70->71,0.09215532347955749
71->72,0.15748013025690408
72->73,0.0
73->74,0.08381709190192062
74->75,0.0780057052211985
75->76,0.0
76->77,0.0
77->78,0.07366303835498346
78->79,0.0
79->80,0.40355596807600436
80->81,0.0
81->82,0.0702601826072829
82->83,0.13219333519486048
83->84,0.15748013025690408
84->85,0.7512467620163018
85->86,0.13219333519486048
86->87,0.0
87->88,0.0
88->89,0.067500463640696
89->90,0.0780057052211985
90->91,0.0
91->92,0.0
92->93,0.09215532347955749
93->94,0.3592193940338764
94->95,0.0780057052211985
95->96,0.13270372535659283
96->97,0.07366303835498346
97->98,0.0
98->99,0.20585637354984396
99->100,0.3238126503165582
100->101,0.32155469814338405
