,All
51->52,0.0
52->53,0.0
53->54,0.17016102870075597
54->55,0.0
55->56,0.0
56->57,0.1973965969107573
57->58,0.0
58->59,0.0702601826072829
59->60,0.14826588782848138
60->61,0.13219333519486048
61->62,0.15748013025690408
62->63,0.0
63->64,0.0
64->65,0.5368953967191602
65->66,0.067500463640696
66->67,0.08381709190192062
67->68,0.6352132949130052
68->69,0.07366303835498346
69->70,0.067500463640696
70->71,0.0
71->72,0.0
72->73,0.1596557871202535
73->74,0.4754813938927402
74->75,0.0
75->76,0.0
76->77,0.13219333519486048
77->78,0.1973965969107573
78->79,0.13219333519486048
79->80,0.09215532347955749
80->81,0.0
81->82,0.23165732683700074
82->83,0.1596557871202535
83->84,0.18354997626780142
84->85,0.552967949352781
85->86,0.7561759329442607
86->87,0.0
87->88,0.0
88->89,0.21142368460296235
89->90,0.0
90->91,0.0
91->92,0.13219333519486048
92->93,0.0
93->94,0.44185636725305977
94->95,0.13219333519486048
95->96,0.10554427104660292
96->97,0.21928053622510033
97->98,0.33720159788360365
98->99,0.1976995945261604
99->100,0.18354997626780142
100->101,0.5384267034354628
