,All
51->52,0.0
52->53,0.05
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.1
57->58,0.0
58->59,0.05
59->60,0.15
60->61,0.0
61->62,0.15
62->63,0.0
63->64,0.05
64->65,0.0
65->66,0.1
66->67,0.0
67->68,0.1
68->69,0.0
69->70,0.1
70->71,0.05
71->72,0.05
72->73,0.1
73->74,0.0
74->75,0.0
75->76,0.05
76->77,0.0
77->78,0.05
78->79,0.15
79->80,0.05
80->81,0.0
81->82,0.0
82->83,0.05
83->84,0.0
84->85,0.0
85->86,0.05
86->87,0.05
87->88,0.1
88->89,0.05
89->90,0.05
90->91,0.1
91->92,0.0
92->93,0.0
93->94,0.15
94->95,0.05
95->96,0.15
96->97,0.0
97->98,0.05
98->99,0.0
99->100,0.0
100->101,0.05
