,All
51->52,-1.0
52->53,-1.0
53->54,-1.0
54->55,-1.0
55->56,-1.0
56->57,-1.0
57->58,-1.0
58->59,-1.0
59->60,-1.0
60->61,-1.0
61->62,-1.0
62->63,-1.0
63->64,-1.0
64->65,-1.0
65->66,-1.0
66->67,-1.0
67->68,-1.0
68->69,-1.0
69->70,-1.0
70->71,-1.0
71->72,-1.0
72->73,-1.0
73->74,-1.0
74->75,-1.0
75->76,-1.0
76->77,-1.0
77->78,-1.0
78->79,-1.0
79->80,-1.0
80->81,-1.0
81->82,-1.0
82->83,-1.0
83->84,-1.0
84->85,-1.0
85->86,-1.0
86->87,-1.0
87->88,-1.0
88->89,-1.0
89->90,-1.0
90->91,-1.0
91->92,-1.0
92->93,-1.0
93->94,-1.0
94->95,-1.0
95->96,-1.0
96->97,-1.0
97->98,-1.0
98->99,-1.0
99->100,-1.0
100->101,-1.0
