,All
51->52,0.24
52->53,0.2
53->54,0.16
54->55,0.08
55->56,0.24
56->57,0.08
57->58,0.12
58->59,0.12
59->60,0.36
60->61,0.12
61->62,0.16
62->63,0.08
63->64,0.04
64->65,0.2
65->66,0.04
66->67,0.12
67->68,0.28
68->69,0.08
69->70,0.12
70->71,0.04
71->72,0.16
72->73,0.04
73->74,0.24
74->75,0.12
75->76,0.08
76->77,0.04
77->78,0.08
78->79,0.0
79->80,0.12
80->81,0.08
81->82,0.24
82->83,0.24
83->84,0.12
84->85,0.2
85->86,0.28
86->87,0.12
87->88,0.0
88->89,0.2
89->90,0.04
90->91,0.08
91->92,0.08
92->93,0.12
93->94,0.16
94->95,0.04
95->96,0.24
96->97,0.12
97->98,0.08
98->99,0.16
99->100,0.08
100->101,0.12
