,All
51->52,0.12
52->53,0.12
53->54,0.16
54->55,0.04
55->56,0.16
56->57,0.16
57->58,0.04
58->59,0.16
59->60,0.36
60->61,0.08
61->62,0.28
62->63,0.2
63->64,0.0
64->65,0.28
65->66,0.08
66->67,0.12
67->68,0.36
68->69,0.08
69->70,0.12
70->71,0.04
71->72,0.12
72->73,0.04
73->74,0.32
74->75,0.04
75->76,0.0
76->77,0.08
77->78,0.12
78->79,0.08
79->80,0.16
80->81,0.0
81->82,0.12
82->83,0.16
83->84,0.16
84->85,0.44
85->86,0.08
86->87,0.2
87->88,0.28
88->89,0.16
89->90,0.08
90->91,0.24
91->92,0.0
92->93,0.08
93->94,0.24
94->95,0.04
95->96,0.16
96->97,0.16
97->98,0.04
98->99,0.08
99->100,0.12
100->101,0.28
