,All
51->52,0.0
52->53,0.02
53->54,0.16
54->55,0.08
55->56,0.12
56->57,0.28
57->58,0.0
58->59,0.2
59->60,0.28
60->61,0.08
61->62,0.24
62->63,0.04
63->64,0.0
64->65,0.2
65->66,0.12
66->67,0.16
67->68,0.36
68->69,0.12
69->70,0.12
70->71,0.0
71->72,0.04
72->73,0.12
73->74,0.24
74->75,0.12
75->76,0.0
76->77,0.04
77->78,0.08
78->79,0.16
79->80,0.12
80->81,0.0
81->82,0.04
82->83,0.24
83->84,0.12
84->85,0.36
85->86,0.4
86->87,0.12
87->88,0.12
88->89,0.32
89->90,0.04
90->91,0.0
91->92,0.12
92->93,0.0
93->94,0.24
94->95,0.12
95->96,0.28
96->97,0.24
97->98,0.08
98->99,0.16
99->100,0.08
100->101,0.32
