,All
51->52,0.22058823529411764
52->53,0.7377049180327869
53->54,0.5284090909090909
54->55,0.2692307692307692
55->56,0.43333333333333335
56->57,0.5284552845528455
57->58,0.6187050359712231
58->59,0.24793388429752067
59->60,0.4129032258064516
60->61,0.6307692307692307
61->62,0.3247863247863248
62->63,0.4020618556701031
63->64,0.20967741935483872
64->65,0.4727272727272727
65->66,0.21621621621621623
66->67,0.20253164556962025
67->68,0.36363636363636365
68->69,0.2708333333333333
69->70,0.30927835051546393
70->71,0.12195121951219512
71->72,0.17567567567567569
72->73,0.125
73->74,0.27
74->75,0.25
75->76,0.2956521739130435
76->77,0.3695652173913043
77->78,0.2727272727272727
78->79,0.2627118644067797
79->80,0.23076923076923078
80->81,0.33035714285714285
81->82,0.13541666666666666
82->83,0.25688073394495414
83->84,0.2809917355371901
84->85,0.5619834710743802
85->86,0.2459016393442623
86->87,0.463768115942029
87->88,0.3114754098360656
88->89,0.17894736842105263
89->90,0.1794871794871795
90->91,0.19318181818181818
91->92,0.36231884057971014
92->93,0.12087912087912088
93->94,0.18055555555555555
94->95,0.2833333333333333
95->96,0.226890756302521
96->97,0.19834710743801653
97->98,0.07920792079207921
98->99,0.22340425531914893
99->100,0.22077922077922077
100->101,0.2956521739130435
