,All
51->52,0.15407727450920353
52->53,0.30191750944428364
53->54,0.10554427104660292
54->55,0.07366303835498346
55->56,0.15748013025690408
56->57,0.22774031286418694
57->58,0.0
58->59,0.1455061688618945
59->60,0.38905516178408
60->61,0.2946088412817009
61->62,0.5937666317593977
62->63,0.3979013415649429
63->64,0.06520326171589681
64->65,0.4649761523122377
65->66,0.0780057052211985
66->67,0.0
67->68,0.5911797184862803
68->69,0.067500463640696
69->70,0.13270372535659283
70->71,0.08381709190192062
71->72,0.0
72->73,0.0
73->74,0.0702601826072829
74->75,0.0
75->76,0.0702601826072829
76->77,0.3409085614632557
77->78,0.1596557871202535
78->79,0.0
79->80,0.18936136294852354
80->81,0.0702601826072829
81->82,0.0702601826072829
82->83,0.14826588782848138
83->84,0.0780057052211985
84->85,0.7164891092625228
85->86,0.44308101143996315
86->87,0.5807226673239401
87->88,0.0
88->89,0.17074753276249974
89->90,0.07366303835498346
90->91,0.067500463640696
91->92,0.0
92->93,0.13219333519486048
93->94,0.4720785381450396
94->95,0.15166874357618196
95->96,0.2444105711174832
96->97,0.07366303835498346
97->98,0.10554427104660292
98->99,0.286270609704064
99->100,0.31547441873892135
100->101,0.45425842349997686
