,All
51->52,0.0
52->53,0.07102001981682865
53->54,0.05494858807198587
54->55,0.06640126340430233
55->56,0.0
56->57,0.0383846381653829
57->58,0.0
58->59,0.0
59->60,0.03343749138471349
60->61,0.0702601826072829
61->62,0.11768414682180543
62->63,0.0
63->64,0.03343749138471349
64->65,0.03962106705581559
65->66,0.06117331537803186
66->67,0.0
67->68,0.0
68->69,0.04734667987788577
69->70,0.20806127123469464
70->71,0.0
71->72,0.08293397412293688
72->73,0.07826832242344589
73->74,0.0
74->75,0.0
75->76,0.04105877938688905
76->77,0.04734667987788577
77->78,0.032864970567577
78->79,0.0383846381653829
79->80,0.0
80->81,0.07244761042136541
81->82,0.0
82->83,0.032864970567577
83->84,0.0
84->85,0.0
85->86,0.03406297225598251
86->87,0.2727161062238898
87->88,0.0383846381653829
88->89,0.0
89->90,0.1420400396336573
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.03406297225598251
94->95,0.08840545926477482
95->96,0.06117331537803186
96->97,0.0
97->98,0.20988834069039145
98->99,0.2769314881911857
99->100,0.1306760665902325
100->101,0.2954394390213331
