,All
51->52,0.0702601826072829
52->53,0.16182279712311912
53->54,0.0780057052211985
54->55,0.0
55->56,0.13219333519486048
56->57,0.22434865867441797
57->58,0.0
58->59,0.3224162763386817
59->60,0.3429027657726518
60->61,0.09215532347955749
61->62,0.2107094305777913
62->63,0.0
63->64,0.0
64->65,0.5121165498603426
65->66,0.17304473468729892
66->67,0.0
67->68,0.5999292064736851
68->69,0.0
69->70,0.067500463640696
70->71,0.0
71->72,0.0
72->73,0.067500463640696
73->74,0.3638506620318613
74->75,0.067500463640696
75->76,0.0
76->77,0.14826588782848138
77->78,0.23165732683700074
78->79,0.0
79->80,0.15748013025690408
80->81,0.0702601826072829
81->82,0.10554427104660292
82->83,0.17016102870075597
83->84,0.15748013025690408
84->85,0.3675576256115133
85->86,0.40355596807600436
86->87,0.6176608209069456
87->88,0.0
88->89,0.14902035361781743
89->90,0.09215532347955749
90->91,0.0
91->92,0.0
92->93,0.23165732683700074
93->94,0.0
94->95,0.067500463640696
95->96,0.4593976397011877
96->97,0.0780057052211985
97->98,0.29401613231797963
98->99,0.09215532347955749
99->100,0.13219333519486048
100->101,0.6210636766546461
