,All
51->52,0.0
52->53,0.05
53->54,0.05
54->55,0.1
55->56,0.0
56->57,0.05
57->58,0.0
58->59,0.0
59->60,0.05
60->61,0.1
61->62,0.15
62->63,0.0
63->64,0.05
64->65,0.05
65->66,0.05
66->67,0.0
67->68,0.0
68->69,0.05
69->70,0.2
70->71,0.0
71->72,0.1
72->73,0.1
73->74,0.0
74->75,0.0
75->76,0.05
76->77,0.05
77->78,0.05
78->79,0.05
79->80,0.0
80->81,0.1
81->82,0.0
82->83,0.05
83->84,0.0
84->85,0.0
85->86,0.05
86->87,0.15
87->88,0.05
88->89,0.0
89->90,0.05
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.05
94->95,0.1
95->96,0.05
96->97,0.0
97->98,0.15
98->99,0.25
99->100,0.1
100->101,0.2
