,All
51->52,0.18505714336518753
52->53,0.14779404265570237
53->54,0.10495895369950586
54->55,0.038813687529402646
55->56,0.09349804419102602
56->57,0.15526222987339672
57->58,0.10360896156209798
58->59,0.2036535234480103
59->60,0.33132270890778437
60->61,0.19853887308132318
61->62,0.25174189254500223
62->63,0.0
63->64,0.03452611121415187
64->65,0.3393206162973785
65->66,0.030876734103266044
66->67,0.06516482786130691
67->68,0.4419089401227472
68->69,0.0738153094715159
69->70,0.23545438270246682
70->71,0.0
71->72,0.2648447069249256
72->73,0.07247295301066933
73->74,0.27188888283626245
74->75,0.029880067491864778
75->76,0.0
76->77,0.04257966208269567
77->78,0.13804381088611203
78->79,0.073443191077279
79->80,0.13064176510039782
80->81,0.1392075695741422
81->82,0.2204644003594907
82->83,0.1366965559815474
83->84,0.2449146144010798
84->85,0.28138559601240376
85->86,0.10900349468434896
86->87,0.1547703732971612
87->88,0.07069509548599469
88->89,0.21921755049824723
89->90,0.13895490933237073
90->91,0.03835174395005146
91->92,0.13016577147127606
92->93,0.13609119278887685
93->94,0.16407387200600473
94->95,0.027405999387261345
95->96,0.20626105754821306
96->97,0.07862276145293425
97->98,0.18338145317535917
98->99,0.17225072268184172
99->100,0.12250039851277579
100->101,0.14251088722903424
