,All
51->52,0.08996123352385285
52->53,0.07215815210208543
53->54,0.02824683750444364
54->55,0.04575182596987993
55->56,0.0
56->57,0.09006800063085246
57->58,0.02977095470341452
58->59,0.0
59->60,0.031450809460012545
60->61,0.04257966208269567
61->62,0.06505691535794839
62->63,0.0
63->64,0.0
64->65,0.12649337734673924
65->66,0.0
66->67,0.0
67->68,0.04608622586439511
68->69,0.0
69->70,0.05929656306737503
70->71,0.0
71->72,0.05953493021499061
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.17311418218976393
77->78,0.07473531478773192
78->79,0.07215815210208543
79->80,0.0
80->81,0.0
81->82,0.028857060885121653
82->83,0.04257966208269567
83->84,0.04327026689204649
84->85,0.036845342582263525
85->86,0.0
86->87,0.09113558059991897
87->88,0.027405999387261345
88->89,0.14176478152103805
89->90,0.0
90->91,0.013882457939690169
91->92,0.08774311957219708
92->93,0.0
93->94,0.0
94->95,0.03559140761152903
95->96,0.07791854517561839
96->97,0.0
97->98,0.03234579094342621
98->99,0.0
99->100,0.06293240107047654
100->101,0.04261970808878947
