,All
51->52,0.04
52->53,0.12
53->54,0.28
54->55,0.04
55->56,0.12
56->57,0.24
57->58,0.0
58->59,0.2
59->60,0.32
60->61,0.12
61->62,0.36
62->63,0.0
63->64,0.08
64->65,0.2
65->66,0.08
66->67,0.0
67->68,0.4
68->69,0.12
69->70,0.12
70->71,0.16
71->72,0.08
72->73,0.08
73->74,0.28
74->75,0.08
75->76,0.04
76->77,0.12
77->78,0.16
78->79,0.12
79->80,0.2
80->81,0.16
81->82,0.08
82->83,0.2
83->84,0.16
84->85,0.44
85->86,0.36
86->87,0.36
87->88,0.04
88->89,0.32
89->90,0.08
90->91,0.04
91->92,0.08
92->93,0.2
93->94,0.24
94->95,0.08
95->96,0.2
96->97,0.24
97->98,0.2
98->99,0.04
99->100,0.08
100->101,0.32
