,All
51->52,0.14285714285714285
52->53,0.11538461538461539
53->54,0.07142857142857142
54->55,0.058823529411764705
55->56,0.0
56->57,0.022988505747126436
57->58,0.047619047619047616
58->59,0.16666666666666666
59->60,0.29411764705882354
60->61,0.2
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.3076923076923077
65->66,0.0
66->67,0.16666666666666666
67->68,0.4
68->69,0.0
69->70,0.5
70->71,0.0
71->72,0.2
72->73,0.125
73->74,0.0
74->75,0.0
75->76,0.058823529411764705
76->77,0.06451612903225806
77->78,0.16666666666666666
78->79,0.07142857142857142
79->80,0.15384615384615385
80->81,0.08
81->82,0.2857142857142857
82->83,0.25
83->84,0.02030456852791878
84->85,0.375
85->86,0.2857142857142857
86->87,0.15217391304347827
87->88,0.0
88->89,0.25
89->90,0.01694915254237288
90->91,0.0
91->92,0.0625
92->93,0.0
93->94,0.07407407407407407
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.14285714285714285
100->101,0.0
