,All
51->52,0.41935483870967744
52->53,0.14893617021276595
53->54,0.16666666666666666
54->55,0.3939393939393939
55->56,0.29411764705882354
56->57,0.4838709677419355
57->58,0.30434782608695654
58->59,0.3617021276595745
59->60,0.25
60->61,0.2727272727272727
61->62,0.24
62->63,0.3235294117647059
63->64,0.38235294117647056
64->65,0.5862068965517241
65->66,0.3684210526315789
66->67,0.6857142857142857
67->68,0.2727272727272727
68->69,0.48148148148148145
69->70,0.35294117647058826
70->71,0.35
71->72,0.3888888888888889
72->73,0.5454545454545454
73->74,0.5333333333333333
74->75,0.35
75->76,0.2413793103448276
76->77,0.40476190476190477
77->78,0.15
78->79,0.375
79->80,0.3684210526315789
80->81,0.3333333333333333
81->82,0.42857142857142855
82->83,0.28125
83->84,0.35294117647058826
84->85,0.4117647058823529
85->86,0.4
86->87,0.1
87->88,0.2808988764044944
88->89,0.40625
89->90,0.5
90->91,0.3333333333333333
91->92,0.2608695652173913
92->93,0.23684210526315788
93->94,0.25
94->95,0.17857142857142858
95->96,0.45
96->97,0.46875
97->98,0.4482758620689655
98->99,0.3548387096774194
99->100,0.1951219512195122
100->101,0.13793103448275862
