,All
51->52,0.023492560689115115
52->53,0.0063323318696556505
53->54,0.020100502512562814
54->55,0.02108108108108108
55->56,0.037089871611982884
56->57,0.026180087266957558
57->58,0.0025528146083513507
58->59,0.03963011889035667
59->60,0.027998328458002507
60->61,0.025708442886356996
61->62,0.0408695652173913
62->63,0.014262023217247097
63->64,0.023006134969325152
64->65,0.029060716139076286
65->66,0.035667107001321
66->67,0.01991150442477876
67->68,0.0347764371894961
68->69,0.024075161479741633
69->70,0.040207522697795074
70->71,0.01957585644371941
71->72,0.02697841726618705
72->73,0.024822695035460994
73->74,0.032231404958677684
74->75,0.033942558746736295
75->76,0.0216787103946637
76->77,0.03291814946619217
77->78,0.03820598006644518
78->79,0.04607046070460705
79->80,0.018050541516245487
80->81,0.06279434850863422
81->82,0.02401129943502825
82->83,0.07494646680942184
83->84,0.045662100456621
84->85,0.021635380209990455
85->86,0.043593130779392336
86->87,0.05290227773695812
87->88,0.020703933747412008
88->89,0.08035714285714286
89->90,0.046255506607929514
90->91,0.03653846153846154
91->92,0.013813517513566848
92->93,0.03529411764705882
93->94,0.03567318757192175
94->95,0.03935185185185185
95->96,0.08405797101449275
96->97,0.044293015332197615
97->98,0.0313588850174216
98->99,0.021043000914913082
99->100,0.027522935779816515
100->101,0.07385229540918163
