,All
51->52,0.8
52->53,0.3333333333333333
53->54,0.25
54->55,0.6666666666666666
55->56,0.0
56->57,0.8333333333333334
57->58,0.6
58->59,0.9
59->60,0.0
60->61,1.0
61->62,0.6666666666666666
62->63,0.8571428571428571
63->64,0.9090909090909091
64->65,0.6111111111111112
65->66,0.8
66->67,0.78125
67->68,0.0
68->69,0.9411764705882353
69->70,1.0
70->71,0.8
71->72,0.6666666666666666
72->73,1.0
73->74,0.6666666666666666
74->75,1.0
75->76,1.0
76->77,0.6
77->78,0.6
78->79,1.0
79->80,0.5714285714285714
80->81,0.5714285714285714
81->82,0.6
82->83,0.7142857142857143
83->84,0.5
84->85,0.75
85->86,1.0
86->87,1.0
87->88,0.75
88->89,0.6666666666666666
89->90,0.76
90->91,1.0
91->92,0.0
92->93,1.0
93->94,1.0
94->95,0.0
95->96,0.7777777777777778
96->97,0.75
97->98,0.6923076923076923
98->99,1.0
99->100,0.6666666666666666
100->101,0.0
