,All
51->52,0.0
52->53,0.022222222222222223
53->54,0.14285714285714285
54->55,0.0
55->56,0.0
56->57,0.0625
57->58,0.0
58->59,0.0
59->60,0.0
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.125
65->66,0.0
66->67,0.08333333333333333
67->68,0.0
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.0
72->73,0.0
73->74,0.0
74->75,0.06060606060606061
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.1111111111111111
79->80,0.0
80->81,0.029411764705882353
81->82,0.0
82->83,0.0
83->84,0.0
84->85,0.0
85->86,0.0
86->87,0.03225806451612903
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.1111111111111111
91->92,0.16666666666666666
92->93,0.0
93->94,0.05555555555555555
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.1111111111111111
98->99,0.024390243902439025
99->100,0.09090909090909091
100->101,0.1111111111111111
