,All
51->52,0.014705882352941176
52->53,0.01639344262295082
53->54,0.011363636363636364
54->55,0.009615384615384616
55->56,0.0
56->57,0.016260162601626018
57->58,0.007194244604316547
58->59,0.008264462809917356
59->60,0.03225806451612903
60->61,0.007692307692307693
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.03636363636363636
65->66,0.0
66->67,0.02531645569620253
67->68,0.03636363636363636
68->69,0.0
69->70,0.010309278350515464
70->71,0.0
71->72,0.013513513513513514
72->73,0.008928571428571428
73->74,0.0
74->75,0.0
75->76,0.008695652173913044
76->77,0.021739130434782608
77->78,0.015151515151515152
78->79,0.00847457627118644
79->80,0.02564102564102564
80->81,0.017857142857142856
81->82,0.020833333333333332
82->83,0.027522935779816515
83->84,0.03305785123966942
84->85,0.024793388429752067
85->86,0.03278688524590164
86->87,0.050724637681159424
87->88,0.0
88->89,0.010526315789473684
89->90,0.01282051282051282
90->91,0.0
91->92,0.014492753623188406
92->93,0.0
93->94,0.041666666666666664
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.025974025974025976
100->101,0.0
