,All
51->52,0.07142857142857142
52->53,0.029535864978902954
53->54,0.004830917874396135
54->55,0.05179282868525897
55->56,0.024875621890547265
56->57,0.07462686567164178
57->58,0.029661016949152543
58->59,0.06772908366533864
59->60,0.016
60->61,0.011673151750972763
61->62,0.02564102564102564
62->63,0.044
63->64,0.045454545454545456
64->65,0.07589285714285714
65->66,0.05204460966542751
66->67,0.08727272727272728
67->68,0.015151515151515152
68->69,0.046762589928057555
69->70,0.026200873362445413
70->71,0.02880658436213992
71->72,0.03225806451612903
72->73,0.07346938775510205
73->74,0.053691275167785234
74->75,0.03431372549019608
75->76,0.023178807947019868
76->77,0.05592105263157895
77->78,0.015706806282722512
78->79,0.037815126050420166
79->80,0.03017241379310345
80->81,0.05415162454873646
81->82,0.046153846153846156
82->83,0.0391304347826087
83->84,0.020905923344947737
84->85,0.026515151515151516
85->86,0.03524229074889868
86->87,0.0034482758620689655
87->88,0.08710801393728224
88->89,0.051181102362204724
89->90,0.05136986301369863
90->91,0.018018018018018018
91->92,0.01910828025477707
92->93,0.03
93->94,0.020905923344947737
94->95,0.01607717041800643
95->96,0.030821917808219176
96->97,0.05263157894736842
97->98,0.03823529411764706
98->99,0.026570048309178744
99->100,0.024539877300613498
100->101,0.013651877133105802
