,All
51->52,0.22058823529411764
52->53,0.7486338797814208
53->54,0.5909090909090909
54->55,0.375
55->56,0.5777777777777777
56->57,0.5365853658536586
57->58,0.7050359712230215
58->59,0.24793388429752067
59->60,0.432258064516129
60->61,0.676923076923077
61->62,0.4017094017094017
62->63,0.44329896907216493
63->64,0.24193548387096775
64->65,0.509090909090909
65->66,0.24324324324324326
66->67,0.34177215189873417
67->68,0.44545454545454544
68->69,0.4270833333333333
69->70,0.31958762886597936
70->71,0.14634146341463414
71->72,0.20270270270270271
72->73,0.1875
73->74,0.39
74->75,0.325
75->76,0.3391304347826087
76->77,0.40217391304347827
77->78,0.3484848484848485
78->79,0.288135593220339
79->80,0.2564102564102564
80->81,0.35714285714285715
81->82,0.17708333333333334
82->83,0.3211009174311927
83->84,0.3305785123966942
84->85,0.5619834710743802
85->86,0.27049180327868855
86->87,0.5217391304347826
87->88,0.32786885245901637
88->89,0.18947368421052632
89->90,0.2692307692307692
90->91,0.2159090909090909
91->92,0.4057971014492754
92->93,0.13186813186813187
93->94,0.2152777777777778
94->95,0.2833333333333333
95->96,0.24369747899159663
96->97,0.21487603305785125
97->98,0.0891089108910891
98->99,0.24468085106382978
99->100,0.23376623376623376
100->101,0.3217391304347826
