,All
51->52,0.04395604395604396
52->53,0.004219409282700422
53->54,0.004830917874396135
54->55,0.00796812749003984
55->56,0.0
56->57,0.024875621890547265
57->58,0.012711864406779662
58->59,0.035856573705179286
59->60,0.0
60->61,0.0038910505836575876
61->62,0.008547008547008548
62->63,0.024
63->64,0.03496503496503497
64->65,0.049107142857142856
65->66,0.01486988847583643
66->67,0.09090909090909091
67->68,0.0
68->69,0.05755395683453238
69->70,0.008733624454148471
70->71,0.01646090534979424
71->72,0.018433179723502304
72->73,0.02857142857142857
73->74,0.026845637583892617
74->75,0.004901960784313725
75->76,0.006622516556291391
76->77,0.039473684210526314
77->78,0.015706806282722512
78->79,0.008403361344537815
79->80,0.017241379310344827
80->81,0.01444043321299639
81->82,0.011538461538461539
82->83,0.021739130434782608
83->84,0.006968641114982578
84->85,0.022727272727272728
85->86,0.013215859030837005
86->87,0.0034482758620689655
87->88,0.0313588850174216
88->89,0.031496062992125984
89->90,0.06506849315068493
90->91,0.0045045045045045045
91->92,0.0
92->93,0.006666666666666667
93->94,0.006968641114982578
94->95,0.0
95->96,0.023972602739726026
96->97,0.031578947368421054
97->98,0.026470588235294117
98->99,0.004830917874396135
99->100,0.006134969325153374
100->101,0.0
