,All
51->52,0.524869794140825
52->53,0.5944656031530169
53->54,0.08381709190192062
54->55,0.5256734591549804
55->56,0.4313511256725573
56->57,0.2091264826781631
57->58,0.16182279712311912
58->59,0.5073626265843596
59->60,0.5999292064736851
60->61,0.0780057052211985
61->62,0.6648427568412638
62->63,0.7645141645218975
63->64,0.5532120249803849
64->65,0.9347967382841033
65->66,0.44766775393378194
66->67,0.7892905694222088
67->68,0.46267895038743856
68->69,0.5810256649393432
69->70,0.7070564254199162
70->71,0.23773760624146342
71->72,0.5745600926096527
72->73,0.8459227254907965
73->74,0.7885763153970377
74->75,0.5653787651991234
75->76,0.487373059977925
76->77,0.894455728953397
77->78,0.4341108446391442
78->79,0.42905392374775814
79->80,0.5506536326634102
80->81,0.5834341958723647
81->82,0.5474006382996627
82->83,0.0702601826072829
83->84,0.23548583547810253
84->85,0.5262661681187016
85->86,0.46267895038743856
86->87,0.24117567709737492
87->88,0.7421544355348229
88->89,0.7014779128088663
89->90,0.6428260709075394
90->91,0.2091264826781631
91->92,0.6178287826345379
92->93,0.5959336417622633
93->94,0.27884254520657487
94->95,0.36436105219359355
95->96,0.5053182718594923
96->97,0.45434071880980165
97->98,0.5306811808215472
98->99,0.3784259331836215
99->100,0.44844703681925474
100->101,0.0780057052211985
