,All
51->52,0.0
52->53,0.03343749138471349
53->54,0.03475017269886857
54->55,0.0
55->56,0.04734667987788577
56->57,0.03233829114831982
57->58,0.0
58->59,0.1501536365180318
59->60,0.0
60->61,0.0
61->62,0.1309259431163403
62->63,0.0
63->64,0.0
64->65,0.0
65->66,0.09668332528644619
66->67,0.042758312515031566
67->68,0.03730675036644463
68->69,0.0669279428235595
69->70,0.042758312515031566
70->71,0.07714693474999154
71->72,0.0
72->73,0.03730675036644463
73->74,0.0
74->75,0.03962106705581559
75->76,0.06640126340430233
76->77,0.07136972262242715
77->78,0.032864970567577
78->79,0.09600736745887492
79->80,0.0
80->81,0.03233829114831982
81->82,0.0
82->83,0.07389464807379723
83->84,0.0
84->85,0.0
85->86,0.07136972262242715
86->87,0.07449627077160254
87->88,0.0
88->89,0.03962106705581559
89->90,0.03475017269886857
90->91,0.07102001981682865
91->92,0.0
92->93,0.0
93->94,0.0
94->95,0.0
95->96,0.04734667987788577
96->97,0.06761514326644556
97->98,0.044808643601671715
98->99,0.07955881630054028
99->100,0.10723621032226116
100->101,0.08898032113999994
