,All
51->52,0.0
52->53,0.0
53->54,0.0
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.1018124718607048
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.43077860485542085
65->66,0.0
66->67,0.07182212955009638
67->68,0.113875539661748
68->69,0.0
69->70,0.0
70->71,0.0
71->72,0.16563082657957398
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.035510009908414325
76->77,0.0
77->78,0.0
78->79,0.23165732683700074
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.07281676027485896
83->84,0.0
84->85,0.22137293446510328
85->86,0.11462461041198471
86->87,0.0
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.1183666996947144
91->92,0.07186629789695316
92->93,0.0
93->94,0.08381709190192062
94->95,0.0
95->96,0.03406297225598251
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.035510009908414325
100->101,0.09600736745887492
