,All
51->52,0.6
52->53,0.3
53->54,0.3
54->55,0.6
55->56,0.4
56->57,0.6
57->58,0.4
58->59,0.8
59->60,0.3
60->61,0.3
61->62,0.5
62->63,0.6
63->64,0.7
64->65,0.7
65->66,0.5
66->67,0.7
67->68,0.3
68->69,0.7
69->70,0.5
70->71,0.3
71->72,0.2
72->73,0.8
73->74,0.4
74->75,0.5
75->76,0.3
76->77,0.6
77->78,0.2
78->79,0.5
79->80,0.2
80->81,0.6
81->82,0.6
82->83,0.4
83->84,0.3
84->85,0.3
85->86,0.4
86->87,0.1
87->88,0.4
88->89,0.3
89->90,0.8
90->91,0.3
91->92,0.5
92->93,0.3
93->94,0.3
94->95,0.2
95->96,0.3
96->97,0.4
97->98,0.6
98->99,0.6
99->100,0.1
100->101,0.1
