,All
51->52,0.04257966208269567
52->53,0.22434625389665291
53->54,0.16523015785312395
54->55,0.0
55->56,0.13832265321844817
56->57,0.200293258033783
57->58,0.027995147037312474
58->59,0.0785609475236315
59->60,0.18536092529510093
60->61,0.25337650400087536
61->62,0.45076429590002887
62->63,0.22430992347906423
63->64,0.12621276178738208
64->65,0.3699552262381304
65->66,0.0883314880525756
66->67,0.09975282550206369
67->68,0.46292853354859864
68->69,0.07243675019379256
69->70,0.1263778254888461
70->71,0.04575182596987993
71->72,0.03835174395005146
72->73,0.03559140761152903
73->74,0.20824904909953373
74->75,0.0
75->76,0.09705214356694528
76->77,0.22869847221580938
77->78,0.13896862659344286
78->79,0.13150353491471373
79->80,0.2529509591911414
80->81,0.030876734103266044
81->82,0.040209203573580043
82->83,0.2533827242651547
83->84,0.13866219535600033
84->85,0.5443917820665042
85->86,0.13409026270349864
86->87,0.41095203562775035
87->88,0.3168866508255568
88->89,0.2187971803608805
89->90,0.14981797908857988
90->91,0.14051589953275426
91->92,0.031450809460012545
92->93,0.08848840985422782
93->94,0.31670823167132633
94->95,0.1085268433155776
95->96,0.27807755543244517
96->97,0.2008638950115722
97->98,0.12249356058646654
98->99,0.23985239029873073
99->100,0.15366677789473257
100->101,0.3366489068242948
