,All
51->52,0.1085268433155776
52->53,0.05856809921066512
53->54,0.10791495192485262
54->55,0.06965250037012936
55->56,0.13409026270349864
56->57,0.20013800360472123
57->58,0.0
58->59,0.18503658862943959
59->60,0.35612936878487556
60->61,0.2052296918971393
61->62,0.21266206220713135
62->63,0.05540114642457381
63->64,0.027995147037312474
64->65,0.2650159476155595
65->66,0.10655609456094396
66->67,0.0793579318678158
67->68,0.4066558995011229
68->69,0.06540284531741793
69->70,0.030355773621352913
70->71,0.14867014639298126
71->72,0.12552803807636873
72->73,0.14040054140723748
73->74,0.31040397514753376
74->75,0.07057480912000814
75->76,0.062327543563278597
76->77,0.13575742335688262
77->78,0.21316491457208742
78->79,0.07245972957456046
79->80,0.10150004577632353
80->81,0.0586752589003963
81->82,0.10082503992730303
82->83,0.22465420858482135
83->84,0.1441161830565085
84->85,0.4177467203335428
85->86,0.3361756207299114
86->87,0.45034753933531874
87->88,0.16480263196816927
88->89,0.23404272224097922
89->90,0.057611675750961766
90->91,0.03452611121415187
91->92,0.09484614211396725
92->93,0.18642330779526506
93->94,0.17830034101224015
94->95,0.10674959176291528
95->96,0.24327743774030583
96->97,0.20811857752641238
97->98,0.24273782266947588
98->99,0.1147378141847811
99->100,0.1601256014744001
100->101,0.3539745448996976
