,All
51->52,0.4
52->53,0.36
53->54,0.2
54->55,0.28
55->56,0.32
56->57,0.32
57->58,0.16
58->59,0.24
59->60,0.32
60->61,0.04
61->62,0.44
62->63,0.44
63->64,0.28
64->65,0.68
65->66,0.24
66->67,0.64
67->68,0.28
68->69,0.36
69->70,0.32
70->71,0.24
71->72,0.48
72->73,0.76
73->74,0.48
74->75,0.28
75->76,0.4
76->77,0.72
77->78,0.24
78->79,0.4
79->80,0.36
80->81,0.4
81->82,0.28
82->83,0.12
83->84,0.32
84->85,0.4
85->86,0.24
86->87,0.32
87->88,0.5
88->89,0.44
89->90,0.44
90->91,0.32
91->92,0.36
92->93,0.4
93->94,0.32
94->95,0.24
95->96,0.28
96->97,0.44
97->98,0.36
98->99,0.36
99->100,0.52
100->101,0.24
